Name/Label,Description,Individual/Organization,Actor Sub-Type(s),Website,Email,"City, State",Country,Operating Region(s),Connections,Activities,System focus,Tags: Field/Approach,Tags: Issues,Key Publications,Scale,Additional Notes,Keywords
Swaraj University,"Swaraj University was birthed in 2010 as a experimental learning community for khoji-seekers to explore themselves and the world. With the spirit of Eklavya (from the Mahabharat), we creatively engage with the pedagogy of self-designed learning and are collectively working on the question of: how do we bring swaraj into our everyday lives. We offer programs for khojis of all ages.",Organization,Education,https://www.swarajuniversity.org/,swarajuni@gmail.com,"Naya Khera, Rajasthan",India,South Asia,"Con-41 - Swaraj University -  Indian Multiversities Alliance,Con-42 - Swaraj University -  Ecoversities Alliance",Education,"Education,Community,Worldviews","Eco-communities,Local Economies,Indigenous/Traditional Living,Cooperatives,Alternative Currency,The Commons,Social & Solidarity Economy,Decolonization","communities,climate change,land,material resources",,National,Flagship program is the 2-year Khoji Program. They also have other educational offerings and an Unschoolers Ecovillage for families with children.,"regenerative/regeneration,swaraj,evolution of consciousness"
Gaia Foundation,"The Gaia Foundation is a small, international organisation with 35 years’ experience accompanying partners, communities and movements around the world to revive and protect bio-cultural diversity. We take a holistic approach to regenerate healthy ecosystems and strengthen community self-governance. Both are critical as we face the grave reality of climate chaos, biodiversity collapse and social injustice.

Together with our partners from the Atlantic to the Arctic, Africa to the Amazon, we are reweaving the basket of life, revalorising the knowledge systems that enhance it, and restoring a respectful relationship with the Earth.",Organization,Donor foundation,https://gaiafoundation.org/,info@gaianet.org,Brighton,United Kingdom,Global,"Con-36 - African Earth Jurisprudence Collective -  Gaia Foundation,Con-45 - African Biodiversity Network -  Gaia Foundation","Consulting & Advisory,Advocacy & Organizing,Education,Philanthropy,Public Commentary,Convening & Coordination","Climate,Ecosystems,Worldviews,Food,""Policy, Planning & Law"",Energy & Resources,Community","Indigenous/Traditional Living,Decolonization,Food Sovereignty,Agroecology,Adaptation & Resilience,Rights of Nature","social justice,governance,biodiversity,human rights,water,land,material resources,consumption & lifestyles,communities","'- 'Wh@t on Earth: How digital technology is disconnecting us from ourselves, each other and our living planet' (2018), https://gaiafoundation.org/post-library/wht-on-earth-report/ 
",International,,"earth-centred/eco-centric,biocultural diversity,earth jurisprudence,regenerative/regeneration,care movement/ethics of care,collective wellbeing,sacred natural sites"
Rosa Luxemburg Stiftung,"The Rosa Luxemburg Foundation is one of the six major political foundations in the Federal Republic of Germany, tasked primarily with conducting political education both at home and abroad. The foundation is closely linked to Die Linke, a democratic socialist party in the German parliament.

Since its founding in 1990, the foundation’s work has adhered to the legacy of its namesake, German socialist leader Rosa Luxemburg, and stands for democratic socialism with an unwavering internationalist focus. The foundation is committed to a radical perspective emphasizing public awareness, education, and social critique. It stands in the tradition of the workers’ and women’s movements, as well as anti-fascism and anti-racism.

The Rosa Luxemburg Foundation is a registered non-profit organization whose highest decision-making body is the Mitgliederversammlung, or General Assembly. Its work is supported by the dedication and commitment of a large number of volunteers across the country.

The foundation promotes a critical analysis of society and fosters networks of emancipatory political, social, and cultural initiatives around Germany. Internationally, it participates in cooperative development projects and advocates for a dialogue between the Global North and South conducted on equal footing. With the help of the Historical Centre for Democratic Socialism, it also documents significant historical events and achievements from across the political Left. Its Scholarship Department supports young scholars from Germany and the rest of the world with financial grants and other forms of assistance. Like other political foundations, the Rosa Luxemburg Foundation seeks to develop and expand the concept of political education by emphasizing a critical analysis of society as our central task, further underlined by our namesake.

Based on the firm belief that social change requires a reflective confrontation with today’s capitalist society as a whole, the foundation strives to develop alternative concepts and approaches for a comprehensive process of social transformation enabling the creation of a more united and just society. Education and training in democratic socialist politics, analysis, information, and policy advice are therefore the foundation’s basic tasks, which we pursue and implement at the regional, national, and international levels.",Organization,Donor foundation,https://www.rosalux.de/en/foundation,info@rosalux.org,Berlin,Germany,Global,"Con-50 - Observatorio de Ecología Política de Venezuela (OEP) -  Rosa Luxemburg Stiftung,Con-57 - Alternative Information & Development Centre (AIDC) -  Rosa Luxemburg Stiftung,Con-64 - Rosa Luxemburg Stiftung -  Focus on the Global South","Advocacy & Organizing,Education,Philanthropy,Research,Public Commentary,Convening & Coordination","Politics,""Policy, Planning & Law"",Economy,Education,Community,Food,Energy & Resources,Security & Defence,Climate,Ecosystems,Transport","Sustainable Development,Just Transition,Social & Solidarity Economy,Participatory & Deliberative Democracy,Local Economies,Narratives,Political Economy,Ecological Civilization,The Commons","capitalism,social justice,inequality,social movements,international/multilateral institutions,environmental justice,war/violent conflict,human rights,governance,globalization","'- Building the Social-Ecological Future: Transformative Approaches in Vietnam (2022) - aims to contribute eight concrete examples from Vietnam to the global debate on how to implement a social-ecological transformation. It includes ideas and initiatives from scientists, youth workers, and people who have been working with nature and for a sustainable coexistence for decades. https://www.rosalux.de/fileadmin/rls_uploads/pdfs/Ausland/Ost-_und_S%C3%BCdostasien/SETPerspectivesVietnam.pdf 
- Interdependence with Nature (2022) - A photobook documenting the stories of ecological farmers in Central Vietnam. https://www.rosalux.de/fileadmin/rls_uploads/pdfs/sonst_publikationen/Interdependence_with_Nature.pdf
- Global Authoritarianism: Perspectives and Contestations from the  South (2022) - brings together the work of more than 15 scholar-activists from across the Global South, combining in-depth studies of regional processes of authoritarian transformation with a global perspective on authoritarian capitalism. https://www.transcript-verlag.de/media/pdf/4d/5b/d0/oa97838394620963z56F1yTfY06q.pdf 
- West Africa in the Throes of Climate Crisis (2021) - Building popular power for climate justice in one of the world’s most vulnerable regions. Published by HOMEF, sponsored by Rosa Luxemburg Foundation. https://www.rosalux.de/fileadmin/rls_uploads/pdfs/Ausland/Afrika/HOMEF_West_Africa_Report.pdf ",International,"They use the term 'polycrisis' in these 2 articles: 
- ""Not the Time to Grieve but Fight"" (19 Jun 2023) https://www.rosalux.de/en/news/id/50621/not-the-time-to-grieve-but-to-fight 
- 'COP27: UN Climate Negotiations Face Major Challenges' (11 Sep 2022) https://www.rosalux.de/en/news/id/49464/cop27-un-climate-negotiations-face-major-challenges 
They are connected with Health of Mother Earth Foundation, e.g. see Key Publications","socio-ecological transformation,care movement/ethics of care"
EarthLore Foundation ,"EarthLore partners with local communities to secure land, seed, food and water sovereignty. By reviving indigenous knowledge and protecting sacred natural sites (SNS) local self-governance is strengthened. Along with focussed support and capacity building, this enables communities to become more resilient to climate change and the industrial processes which threaten livelihoods and endogenous development. 

The work of Earthlore is for enabling greater community cohesion (strengthening relationships, building the status of women, reclaiming autonomy over community’s own lives); and strengthening community ecological governance (building seed and food sovereignty, protecting bio- and cultural diversity as well as building local economies). These goals are accomplished through accompanying communities in dialogue processes (surfacing and reconnecting with indigenous knowledge systems and agency); capacity building through training in agro-ecological farming methods, and support for ecological governance; and advocacy, for taking up issues against practices that harm the ecosystem and pose a threat to local traditions and livelihoods.",Organization,NGO/civil society organization,http://earthlorefoundation.org/,info@earthlorefoundation.org,Johannesburg,South Africa,"Southern Africa,East Africa","Con-35 - African Earth Jurisprudence Collective -  EarthLore Foundation ,Con-62 - African Biodiversity Network -  EarthLore Foundation ","Convening & Coordination,Consulting & Advisory,Education,Advocacy & Organizing","Ecosystems,Food,Climate,Economy,Community,Worldviews,""Policy, Planning & Law""","Agroecology,Indigenous/Traditional Living,""Spirituality, Philosophy, & Religion"",Regenerative Agriculture,Local Economies,Decolonization,Ecological Civilization","biodiversity,climate change,environmental justice,capitalism,material resources,land,governance,inequality","'- 'Sacred Voices' (collaborative), a short film which shares the messages of eight traditional Sacred Natural Site Custodians from Kenya, Ethiopia, South Africa and Uganda. https://www.youtube.com/watch?v=uhY4jCuPVrM&ab_channel=TheGaiaFoundation.
- 'Reviving Our Culture, Mapping Our Future', a 12-minute film about their process of Eco-cultural Mapping. https://vimeo.com/9831187",Regional,Formerly The Mupo Foundation,regenerative/regeneration
Society for Alternative Learning and Transformation (SALT),"SALT offers alternative learning which is deep and transformative. SALT is committed to working with like-minded partners and communities to build examples of alternatives solutions with communities in Kenya and beyond in Africa. SALT accompanies communities through deep and transformative processes based on holistic knowledge systems of the indigenous and local peoples both in schools and with communities. Through community dialogues, ecological maps and calendars and nature experiential learning processes, communities revive their indigenous knowledge and practices rooted in their Earth-centred methodologies. SALT approach is holistic and engages every aspect of humans; inner and outer, secular and sacred, matter and spirit, tangible and intangible, quality and quantity.",Organization,NGO/civil society organization,https://saltnet.org/chumvi/,info@saltnet.org,Nkubu,kenya,East Africa,Con-38 - African Earth Jurisprudence Collective -  Society for Alternative Learning and Transformation (SALT),"Consulting & Advisory,Education,Research,Advocacy & Organizing,Convening & Coordination","Ecosystems,Community,Worldviews,Education,""Policy, Planning & Law"",Food","Agroecology,Indigenous/Traditional Living,Sustainable Development,Rights of Nature,The Earth System & Sustainability,Circular Economy,Green Economy,Food Sovereignty,Narratives,The More-than-Human","land,water,governance,communities,biodiversity,globalization",,Regional,,"collective wellbeing,experiential learning,regenerative/regeneration,planetary stewardship,sacred natural sites,earth jurisprudence,deschooling,biocultural diversity"
African Institute for Culture and Ecology (AFRICE),"African Institute for Culture and Ecology [AFRICE] is a non-governmental organization that is registered in Uganda; and broadly focuses on working with communities to revive their knowledge and practices on food, land and ecosystems conservation. It was founded in 2016 and fully registered with the Uganda NGO board in 2017. AFRICE’s main goal is to empower indigenous communities to strengthen their cultural practices for conservation of food, land and natural heritage. We currently work on two program areas within three communities of Bagungu of Buliisa along Lake Albert, Banyabutumbi of Rukungiri along Lake Edward and Basese of Kalangala island in Lake Victoria.",Organization,NGO/civil society organization,http://africeug.org/,director@africeug.org; tabarodennis@yahoo.com,Kampala,Uganda,East Africa,"Con-37 - African Earth Jurisprudence Collective -  African Institute for Culture and Ecology (AFRICE),Con-46 - Seeds of Wisdom -  African Institute for Culture and Ecology (AFRICE),Con-48 - New Field Foundation -  African Institute for Culture and Ecology (AFRICE),Con-49 - Biovision -  African Institute for Culture and Ecology (AFRICE),Con-47 - Swift Foundation -  African Institute for Culture and Ecology (AFRICE)","Advocacy & Organizing,Convening & Coordination,Education","Community,Ecosystems,Food,Worldviews,""Policy, Planning & Law""","Rights of Nature,Indigenous/Traditional Living,Agroecology,The More-than-Human,Pluralism,Decolonization,Human Flourishing,""Cultural Anthropology, Sociology, & History"",Ecological Civilization","biodiversity,governance,environmental justice,human rights,climate change,land,material resources,communities",,Local,,"regenerative/regeneration,sacred natural sites,earth-centred/eco-centric"
African Biodiversity Network,"The African Biodiversity Network (ABN) is an African network of individuals and organizations seeking African solutions to the ecological and socio-economic challenges that face the continent. Currently, ABN has 41 partners drawn from 19 African countries: Benin, Botswana, Ethiopia, Ghana, Kenya, Mozambique, South Africa, Tanzania, Togo, Uganda, Zambia, Zimbabwe, Burkina Faso, Rwanda, Central Africa Republic, Cameroon, Gabon, Morocco and Egypt. We strive to grow and nurture an African network of individuals, communities, and organisations, increasingly rooted in their own biological, cultural and spiritual diversity. With the capability to govern their own lives and livelihoods.",Organization,Association/network/movement,https://africanbiodiversity.org/,abnsecretariat@africanbiodiversity.org,"Thika, Kiambu",kenya,"Central Africa,East Africa,Southern Africa,West Africa,Middle East & North Africa","Con-45 - African Biodiversity Network -  Gaia Foundation,Con-62 - African Biodiversity Network -  EarthLore Foundation ,Con-63 - African Biodiversity Network -  Groupe Recherche pour la recherche sur le Bien-Etre au Bénin (GRABE-BENIN)","Advocacy & Organizing,Convening & Coordination,Education,Consulting & Advisory,Research","Climate,Ecosystems,Food,Community,""Policy, Planning & Law""","Agroecology,Food Sovereignty,Indigenous/Traditional Living,Rights of Nature,Adaptation & Resilience","biodiversity,climate change,land,material resources,communities,environmental justice,governance,social justice,human rights","1) Submission to the African Commission: A Call for Legal Recognition of Sacred Natural Sites and Territories, and their Customary Governance; 
2) Systems, Seeds for Life: Scaling Up Agro-Biodiversity.
Publications can be downloaded from here: https://africanbiodiversity.org/new-publication/",International,,"biocultural diversity,collective action,resilient communities/ecosystems"
Alternative Information & Development Centre (AIDC),"AIDC was formed in 1996 in response to the democratic transition in South Africa and the new opportunities and challenges it brought those seeking greater social justice within the democracy. Over the years AIDC has played a leading role in various civil society responses to ongoing inequality including facilitating the launch and building of the South African Jubilee 2000 debt cancellation campaign, and the Right to Work Campaign.",Organization,NGO/civil society organization,https://aidc.org.za/,info@aidc.org.za,Cape Town,South Africa,Southern Africa,"Con-55 - Wellspring  -  Alternative Information & Development Centre (AIDC),Con-57 - Alternative Information & Development Centre (AIDC) -  Rosa Luxemburg Stiftung","Advocacy & Organizing,Convening & Coordination,Education,Research","Energy & Resources,Climate,Economy,""Policy, Planning & Law"",Ecosystems,Transport,Built Environment,Food,Health","Just Transition,Political Economy,Decarbonization,Sustainable Development,Ecological Civilization,Local Economies,Low Impact Living,Agroecology,Food Sovereignty,Social & Solidarity Economy,Rights of Nature,Participatory & Deliberative Democracy,The Commons,Wealth Redistribution,Welfare & Public Services","material resources,human rights,governance,climate change,inequality,poverty,energy transition,social movements,pollution & waste,environmental justice","'- One Million Climate Jobs: Moving South Africa Forward on a Low-Carbon, Wage-Led and Sustainable Path (2016)
- Eskom Transformed: Achieving a Just Energy Transition for South Africa",International,,
Universidad del Medio Ambiente,"UMA is the only university in Mexico that specialises in sustainability. It arose ten years ago out of the concern of a group of young Mexicans who recognised the huge importance of creating a learning space to address socio-environmental challenges in Latin America. Since then, hundreds of specialists, educators, change agents, and entrepreneurs have joined in the development of an educational model that looks at how we can re-design our system. We offer master's degrees, workshops, diploma courses and consulting services focused on sustainability and socio-environmental regeneration.",Organization,Education,https://umamexico.com/,informes@umamexico.com.mx,Valle de Bravo,Mexico,Latin America,"Con-61 - Universidad del Medio Ambiente -  Ashoka,Con-67 - Universidad del Medio Ambiente -  Ecoversities Alliance","Education,Consulting & Advisory","Built Environment,""Policy, Planning & Law"",Economy,Education,Food,Climate,Ecosystems","Agroecology,Circular Economy,Systems Thinking,Sustainable Development,Permaculture","climate change,ecological collapse,water,land,pollution & waste,material resources,environmental justice,governance",,National,,regenerative/regeneration
Purposeful,"Purposeful is a feminist hub for girls activism, rooted in Africa and working all around the world. We believe that another world is not only possible, it is already being built right here and now, in the ways that girls are organising with each other, imagining with each other, pushing us all a little further towards liberation., ",Organization,NGO/civil society organization,https://wearepurposeful.org/,info@wearepurposeful.org,Freetown; London,Sierra Leone,Global,"Con-43 - Purposeful -  NoVo Foundation,Con-44 - Purposeful -  Wellspring ","Advocacy & Organizing,Convening & Coordination,Philanthropy,Research,Education","Community,Economy,Education,Health,Politics,Worldviews","Wealth Redistribution,Decolonization,Narratives","social justice,inequality,human rights,material resources,social movements,poverty,environmental justice","On approaches to funding: Resourcing Girls' Resistance in Sierra Leone: Emerging Lessons from the With and For Girls Fund; Resourcing Response and Resistance, 5 Years' Of Resourcing Girls' Resistance: Moving Money to the Margins 2018-2022. 

On approaches to power-building work: Building Girls' Power: Perspectives on Theory and Practice In Working With Adolescent Girls; Inside the Circle: Building Power Through Girls' Collectives in Sierra Leone

On their strategy and theory of change: Purposeful's Theory of Change, Purposeful Strategic Framework: Remaking the World with and for Girls; Our Learning Agenda: Reclaiming and Organising Our Many Ways of Knowing",International,"They have 2 offices: Sierra Leone and London. They have grantees all over the world. See: https://wearepurposeful.org/who-we-are/where-we-work/. Their work is centred through a ""power-building lens – redistributing power assets, building collective power, organising power holders and transforming power structures.""","resistance,liberation,collective action"
